FP ID,Name,Website,Partners,Counsel,Associates,Firm Office Locations,Antitrust,Banking,Bankruptcy,Corporate,Data Privacy,ERISA,Energy,Entertainment,Environmental,FDA,Government,Health Care,Insurance,Intellectual Property,International Trade,Labor & Employment,Litigation,Media,Real Estate,Tax,Telecommunications,Transportation,Trusts & Estates,Practice Area Top 1,Practice Area Top 2,Practice Area Top 3,Total Attorneys,PPP
2390,Vinson & Elkins LLP,http://velaw.com,220,75,417,"Austin, Texas; Dallas, Texas; Houston, Texas; New York, New York; Richmond, Virginia; San Francisco, California; Washington, District of Columbia; Los Angeles, California; Tokyo, Japan; Dubai, UAE; London, UK; Dublin, Ireland; Denver, Colorado",21,60,29,216,1,21,125,,24,,9,,1,15,4,9,179,,45,56,,14,,Corporate : 216,Litigation : 179,Energy : 125,723,"4,016,000"
985,Crowell & Moring LLP,http://crowell.com,279,263,172,"Washington, District of Columbia; San Francisco, California; London, UK; New York, New York; Irvine, California; Brussels, Belgium; Los Angeles, California; Shanghai, China; Doha, Qatar; Singapore; Chicago, Illinois; Denver, Colorado; Boston, Massachusetts; Dallas, Texas",77,27,14,71,31,5,10,5,20,4,77,81,7,104,51,28,286,4,6,9,1,5,,Litigation : 286,Intellectual Property : 104,Health Care : 81,720,"1,225,000"
992,Davis Wright Tremaine LLP,http://dwt.com,287,116,248,"Anchorage, Alaska; Bellevue, Washington; Los Angeles, California; New York, New York; Portland, Oregon; San Francisco, California; Seattle, Washington; Washington, District of Columbia; Chicago, Illinois; Los Angeles, California",6,42,4,89,22,9,24,47,14,7,19,31,4,114,3,112,205,72,33,11,28,4,5,Litigation : 205,Intellectual Property : 114,Labor & Employment : 112,718,"1,247,000"
1879,Nixon Peabody LLP,http://nixonpeabody.com,291,164,221,"Albany, New York; Boston, Massachusetts; Chicago, Illinois; Melville, New York; Los Angeles, California; Manchester, New Hampshire; New York, New York; Providence, Rhode Island; Rochester, New York; San Francisco, California; Washington, District of Columbia; Hong Kong, China; Shanghai, China",4,77,17,118,14,17,16,14,11,3,45,37,2,85,5,42,182,2,143,46,1,1,24,Litigation : 182,Real Estate : 143,Corporate : 118,715,"1,732,000"
958,Baker Donelson,http://bakerdonelson.com,346,116,211,"Birmingham, Alabama; Atlanta, Georgia; Baton Rouge, Louisiana; Chattanooga, Tennessee; Houston, Texas; Johnson City, Tennessee; Memphis, Tennessee; Nashville, Tennessee; Orlando, Florida; Baltimore, Maryland; Columbia, South Carolina; Fort Lauderdale, Florida; Jackson, Mississippi; Knoxville, Tennessee; Macon, Georgia; Memphis, Tennessee; New Orleans, Louisiana; Tallahassee, Florida; Washington, District of Columbia; Mandeville, Louisiana; Raleigh, North Carolina; Charleston, South Carolina; Dallas, Texas; Charlotte, North Carolina; Iselin, New Jersey; Princeton, New Jersey; Winston Salem, North Carolina",7,55,39,90,20,8,18,2,11,2,32,92,15,36,4,66,316,2,98,30,5,11,35,Litigation : 316,Real Estate : 98,Health Care : 92,713,"877,000"
1003,Dorsey & Whitney LLP,https://www.dorsey.com/,342,57,236,"Anchorage, Alaska; Beijing, China; Dallas, Texas; Denver, Colorado; Des Moines, Iowa; Hong Kong, China; London, UK; Minneapolis, Minnesota; Missoula, Montana; New York, New York; Palo Alto, California; Salt Lake City, Utah; Seattle, Washington; Shanghai, China; Costa Mesa, California; Toronto, Canada; Vancouver, Canada; Washington, District of Columbia; Wilmington, Delaware; Phoenix, Arizona; Boise, Idaho; Chicago, Illinois",4,68,28,154,7,7,26,4,21,2,43,25,1,91,9,35,184,4,49,20,,1,33,Litigation : 184,Corporate : 154,Intellectual Property : 91,677,"1,134,000"
946,Akerman LLP,http://akerman.com,448,44,163,"New York, New York; Austin, Texas; Boca Raton, Florida; Chicago, Illinois; Dallas, Texas; Denver, Colorado; Fort Lauderdale, Florida; Houston, Texas; Jacksonville, Florida; Las Vegas, Nevada; Los Angeles, California; Miami, Florida; Naples, Florida; San Antonio, Texas; Orlando, Florida; Salt Lake City, Utah; Tallahassee, Florida; Tampa, Florida; Washington, District of Columbia; West Palm Beach, Florida; Atlanta, Georgia; Wilmington, Delaware; Charlotte, North Carolina",4,35,22,102,7,10,17,5,11,1,19,15,36,23,6,55,249,2,129,38,1,1,11,Litigation : 249,Real Estate : 129,Corporate : 102,669,"1,247,000"
957,Baker Botts LLP,http://bakerbotts.com,281,86,287,"Houston, Texas; Austin, Texas; Dallas, Texas; New York, New York; Palo Alto, California; San Francisco, California; Washington, District of Columbia; Brussels, Belgium; Riyadh, Saudi Arabia; Dubai, UAE; London, UK; Singapore",54,32,7,126,8,6,115,,47,1,6,,,126,8,3,155,1,16,30,2,5,8,Litigation : 155,Intellectual Property : 126,Corporate : 126,668,"2,889,000"
8135,Spencer Fane,http://spencerfane.com,330,165,164,"Denver, Colorado; Kansas City, Missouri; Overland Park, Kansas; St. Louis, Missouri; Springfield, Missouri; Jefferson City, Missouri; Omaha, Nebraska; Oklahoma City, Oklahoma; Dallas, Texas; Phoenix, Arizona; Las Vegas, Nevada; Cape Girardeau, Missouri; Plano, Texas; Austin, Texas; Dakota Dunes, South Dakota; Houston, Texas; Minneapolis, Minnesota; Tampa, Florida; Hendersonville, Tennessee; Nashville, Tennessee; Greeenville, South Carolina; Santa Monica, California; San Jose, California; Salt Lake City, Utah; Washington, District of Columbia; St. George, Utah; Santa Fe, New Mexico; St. Cloud, Minnesota; Wichita, Kansas; Galveston, Texas",1,40,39,79,16,15,17,3,30,1,38,27,18,49,,50,284,,109,23,2,,37,Litigation : 284,Real Estate : 109,Corporate : 79,661,"764,000"
952,ArentFox Schiff,https://www.afslaw.com/,330,77,189,"Washington, District of Columbia; Los Angeles, California; New York, New York; San Francisco, California; Ann Arbor, Michigan; Chicago, Illinois; Lake Forest, Illinois; Boston, Massachusetts",5,31,24,93,10,11,11,18,24,9,27,32,14,106,37,29,174,13,81,21,4,5,42,Litigation : 174,Intellectual Property : 106,Corporate : 93,650,"1,421,000"
1455,Kilpatrick Townsend & Stockton LLP,http://kilpatricktownsend.com,271,111,236,"Atlanta, Georgia; Augusta, Georgia; Charlotte, North Carolina; Dallas, Texas; Denver, Colorado; Houston, Texas; Los Angeles, California; New York, New York; Raleigh, North Carolina; San Diego, California; San Francisco, California; Seattle, Washington; Menlo Park, California; Walnut Creek, California; Washington, District of Columbia; Winston, North Carolina; Shanghai, China; Tokyo, Japan; Stockholm, Sweden; Beijing, China; Chicago, Illinois; Scottsdale, Arizona",5,19,10,97,10,10,7,2,8,2,30,3,2,280,1,19,137,8,75,11,1,2,5,Intellectual Property : 280,Litigation : 137,Corporate : 97,644,"1,556,000"
4053,Cole Scott & Kissane,https://csklegal.com/,271,10,358,"Bonita Springs, Florida; Fort Lauderdale, Florida; Jacksonville, Florida; Key West, Florida; Miami, Florida; Orlando, Florida; Pensacola, Florida; Tampa, Florida; West Palm Beach, Florida; Tallahassee, Florida; Fort Myers, Florida",1,1,,5,,1,,,,,,3,185,5,,35,538,,35,1,,2,1,Litigation : 538,Insurance : 185,Real Estate : 35,640,"5,133,000"
112674242,Maynard Nexsen,https://www.maynardnexsen.com/,360,93,174,"Atlanta, Georgia; Austin, Texas; Birmingham, Alabama; Charleston, South Carolina; Charlotte, North Carolina; Columbia, South Carolina; Dallas, Texas; Des Moines, Iowa; Greensboro, North Carolina; Greenville, South Carolina; Bluffton, South Carolina; Huntsville, Alabama; Los Angeles, California; Miami, Florida; Mobile, Alabama; Montgomery, Alabama; Myrtle Beach, South Carolina; Nashville, Tennessee; New York, New York; Orlando, Florida; Raleigh, North Carolina; San Francisco, California; Washington, District of Columbia; Knoxville, Tennessee; San Antonio, Texas; Portland, Maine; Phoenix, Arizona; Denver, Colorado; Boston, Massachusetts; Detroit, Michigan; Minneapolis, Minnesota; San Antonio, Texas",5,51,13,111,10,27,5,3,5,,62,25,65,32,2,56,200,,122,24,3,1,23,Litigation : 200,Real Estate : 122,Corporate : 111,629,"760,000"
1428,Katten Muchin Rosenman LLP,http://kattenlaw.com,304,85,221,"Charlotte, North Carolina; Chicago, Illinois; Los Angeles, California; Los Angeles, California; New York, New York; Irvine, California; Washington, District of Columbia; Dallas, Texas; Shanghai, China; London, UK",6,128,26,120,9,8,,14,1,2,11,24,10,27,,12,140,8,74,16,,,41,Litigation : 140,Banking : 128,Corporate : 120,621,"2,667,000"
984,"Cravath, Swaine & Moore LLP",http://cravath.com,116,48,381,"New York, New York; London, UK; Washington, Distrtict of Columbia",17,28,2,295,4,16,3,,2,,,,,13,2,2,205,,4,22,,,13,Corporate : 295,Litigation : 205,Banking : 28,607,"6,850,000"
1506,Kutak Rock LLP,http://KutakRock.com,378,55,159,"Chicago, Illinois; Atlanta, Georgia; Denver, Colorado; Fayetteville, Arkansas; Irvine, California; Kansas City, Missouri; Little Rock, Arkansas; Los Angeles, California; Minneapolis, Minnesota; Omaha, Nebraska; Philadelphia, Pennsylvania; Richmond, Virginia; Rogers, Arkansas; Scottsdale, Arizona; Spokane, Washington; Washington, District of Columbia; Wichita, Kansas; Springfield, Missouri; Tallahassee, Florida; Cleveland, Ohio",4,142,16,88,10,15,7,1,6,,122,17,25,30,1,17,135,,152,79,,3,1,Real Estate : 152,Banking : 142,Litigation : 135,600,"619,000"
1165,Hinshaw & Culbertson LLP,http://hinshawlaw.com,321,96,171,"Phoenix, Arizona; Los Angeles, California; San Francisco, California; Fort Lauderdale, Florida; Coral Gables, Florida; Tampa, Florida; Chicago, Illinois; Peoria, Illinois; Rockford, Illinois; Springfield, Illinois; Schererville, Indiana; Boston, Massachusetts; Minneapolis, Minnesota; St. Louis, Missouri; New York, New York; Providence, Rhode Island; Milwaukee, Wisconsin; New Orleans, Louisiana; Baton Rouge, Louisiana; Houston, Texas; Iselin, New Jersey; Washington, District of Columbia; Belleville, Illinois; Dallas, Texas; Ridgeland, Mississippi; Irvine, California; Shaker Heights, Ohio",,53,22,24,7,8,,3,6,1,10,24,114,5,2,37,391,2,31,3,,11,5,Litigation : 391,Insurance : 114,Banking : 53,590,"681,000"
2209,"Shook, Hardy & Bacon LLP",http://shb.com,262,106,189,"Chicago, Illinois; Denver, Colorado; Houston, Texas; Kansas City, Missouri; Miami, Florida; Irvine, California; Philadelphia, Pennsylvania; San Francisco, California; Seattle, Washington; Tampa, Florida; Washington, District of Columbia; Atlanta, Georgia; Boston, Massachusetts; Los Angeles, California; London, UK; New York, New York; St. Louis, Missouri; Hartford, Connecticut; Jersey City, New Jersey",2,,5,6,17,,2,1,18,8,4,1,8,68,,11,488,1,2,,,,2,Litigation : 488,Intellectual Property : 68,Environmental : 18,583,"1,473,000"
1806,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo P.C.",http://mintz.com,277,53,231,"Los Angeles, California; New York, New York; Boston, Massachusetts; San Diego, California; San Francisco, California; Washington, District of Columbia; Toronto, Canada; Miami, Florida",7,22,17,146,12,11,15,3,3,2,14,30,15,120,,32,153,,33,8,15,3,7,Litigation : 153,Corporate : 146,Intellectual Property : 120,565,"2,570,000"
